Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1/1/2025 11:05,93215.04,93355.71,93200,93355.71,22.12048,10:00.0,2063014.154,5621,13.80984,1288115.529,0
1/1/2025 11:10,93355.71,93376.63,93305.63,93331.58,36.47922,15:00.0,3404895.55,3642,14.87336,1388173.56,0
1/1/2025 11:15,93331.58,93470.36,93331.57,93411.58,43.90706,20:00.0,4100427.557,5613,29.62259,2766420.218,0
1/1/2025 11:20,93411.57,93479.58,93388,93456,22.93233,25:00.0,2142580.279,4898,16.14773,1508650.121,0
1/1/2025 11:25,93456.01,93485.88,93424.59,93485.88,16.71456,30:00.0,1561992.785,3080,11.08575,1035957.151,0
1/1/2025 11:30,93485.88,93512,93425.75,93441.61,15.42085,35:00.0,1441306.199,3207,5.41748,506362.666,0
1/1/2025 11:35,93441.62,93441.62,93402,93429.37,10.73316,40:00.0,1002731.1,2201,4.02858,376349.2133,0
1/1/2025 11:40,93429.37,93605.82,93422.86,93593.24,46.63735,45:00.0,4362555.296,7413,34.32727,3211031.762,0
1/1/2025 11:45,93593.24,93705.08,93529.44,93535,43.99497,50:00.0,4119685.395,9785,29.21034,2735289.327,0
1/1/2025 11:50,93534.99,93540,93486.21,93486.21,17.55536,55:00.0,1641587.329,3914,6.42966,601218.1684,0
1/1/2025 11:55,93486.22,93486.22,93443.99,93444.64,27.44037,00:00.0,2564452.182,2792,15.09261,1410458.309,0
1/1/2025 12:00,93444.65,93500.48,93414.33,93500.47,30.84351,05:00.0,2882266.175,4165,17.23031,1609981.897,0
1/1/2025 12:05,93500.47,93511.37,93469.16,93482.7,19.99621,10:00.0,1869316.086,2613,11.14128,1041492.177,0
1/1/2025 12:10,93482.7,93482.7,93407.07,93451.38,15.91467,15:00.0,1487005.458,2505,5.29205,494449.2783,0
1/1/2025 12:15,93451.37,93573.17,93451.37,93544.71,27.87772,20:00.0,2606451.874,5001,17.98241,1681264.716,0
1/1/2025 12:20,93544.71,93842.1,93544.7,93782.31,160.91372,25:00.0,15079022.18,12591,141.39476,13249653.87,0
1/1/2025 12:25,93782.32,93972,93782.31,93888.31,79.17136,30:00.0,7431278.829,8861,53.97398,5066236.643,0
1/1/2025 12:30,93888.3,93909.1,93816,93816,49.90541,35:00.0,4684880.626,4585,33.49824,3144885.782,0
1/1/2025 12:35,93816.01,93876,93768,93839.99,43.18874,40:00.0,4051595.51,4993,28.43064,2666840.579,0
1/1/2025 12:40,93840,93876.28,93782.49,93782.5,19.14548,45:00.0,1796751.273,3586,8.65045,811926.8912,0
1/1/2025 12:45,93782.51,93782.51,93705.5,93710.64,21.54116,50:00.0,2019224.623,4049,6.9139,648045.2631,0
1/1/2025 12:50,93710.64,93769.39,93700.73,93769.38,14.34088,55:00.0,1344156.597,2841,8.65218,810973.8139,0
1/1/2025 12:55,93769.39,93843.99,93769.39,93820.76,16.51727,00:00.0,1549498.352,3138,9.2048,863490.8278,0
1/1/2025 13:00,93820.75,93900,93770.58,93899.99,35.5935,05:00.0,3339717.196,6113,23.41901,2197436.622,0
1/1/2025 13:05,93900,93900,93680.35,93680.36,27.22735,10:00.0,2554289.537,7546,8.30106,778841.072,0
1/1/2025 13:10,93680.35,93707.41,93647.84,93658.13,20.51564,15:00.0,1921792.181,5257,8.24538,772377.5203,0
1/1/2025 13:15,93658.13,93727.28,93613.29,93680.49,21.27035,20:00.0,1992416.12,5136,10.40836,974900.5246,0
1/1/2025 13:20,93680.48,93706.18,93600.28,93634.69,25.17419,25:00.0,2357570.529,5744,8.97471,840463.0678,0
1/1/2025 13:25,93634.68,93792.69,93634.68,93729.3,32.62018,30:00.0,3056969.17,5145,19.02528,1783026.144,0
1/1/2025 13:30,93729.3,93859.51,93724,93854.16,21.55593,35:00.0,2022023.363,4171,13.22802,1240717.955,0
1/1/2025 13:35,93854.15,93888.98,93774.47,93777.35,19.5877,40:00.0,1837954.888,5801,7.56407,709773.2687,0
1/1/2025 13:40,93777.35,93823.87,93728.53,93776.51,19.10807,45:00.0,1792049.849,4271,8.29065,777463.3898,0
1/1/2025 13:45,93776.51,93900,93760,93897.18,26.87461,50:00.0,2522497.499,4512,18.87507,1771822.964,0
1/1/2025 13:50,93897.18,93924.24,93848,93880.48,26.43766,55:00.0,2482255.306,3985,16.56905,1555631.905,0
1/1/2025 13:55,93880.49,94058.79,93880.48,94031.76,64.39869,00:00.0,6051824.063,6798,54.54373,5125581.091,0
1/1/2025 14:00,94031.77,94371.73,94028.54,94371.72,135.02273,05:00.0,12722989.97,15655,100.74965,9491927.73,0
1/1/2025 14:05,94371.73,94450.85,94172.82,94265.92,57.35212,10:00.0,5410975.15,16265,31.98128,3017828.763,0
1/1/2025 14:10,94265.65,94348.44,94220,94245.19,57.1983,15:00.0,5392147.66,7206,34.60295,3261728.408,0
1/1/2025 14:15,94245.18,94295.85,94136.35,94168.47,58.42855,20:00.0,5505828.614,9685,34.76407,3276123.058,0
1/1/2025 14:20,94168.47,94204.81,94150,94170.94,33.44358,25:00.0,3149627.017,5445,9.22283,868603.4906,0
1/1/2025 14:25,94170.94,94170.94,93883.66,93919.99,64.74034,30:00.0,6087168.449,11047,27.89589,2621848.703,0
1/1/2025 14:30,93919.99,93920,93671.48,93789.51,77.24209,35:00.0,7242809.187,15854,32.99886,3094144.367,0
1/1/2025 14:35,93789.51,94140,93789.5,94063.97,64.52783,40:00.0,6067332.393,10689,40.49927,3807426.494,0
1/1/2025 14:40,94063.96,94100,93956,93976.51,61.21468,45:00.0,5756501.798,8337,25.72098,2418885.786,0
1/1/2025 14:45,93976.52,94225.58,93914.46,94127.91,66.61954,50:00.0,6270547.406,13825,32.39431,3049054.112,0
1/1/2025 14:50,94127.91,94185.28,94104.05,94121.99,52.44999,55:00.0,4938441.102,6137,29.20541,2749829.691,0
1/1/2025 14:55,94121.99,94183.68,94112.55,94175.89,23.66722,00:00.0,2228517.156,4137,12.89614,1214286.329,0
1/1/2025 15:00,94175.89,94265.75,94119.59,94185,30.96771,05:00.0,2916447.133,5867,16.01433,1508206.344,0
1/1/2025 15:05,94185,94198.49,94078.59,94097.49,28.17575,10:00.0,2652544.488,3876,6.65809,626799.9789,0
1/1/2025 15:10,94097.48,94106.63,93900,93982.33,41.1872,15:00.0,3871933.579,7657,13.63555,1282098.395,0
1/1/2025 15:15,93982.33,94153.31,93914.83,94148.16,40.96863,20:00.0,3852555.42,7879,25.36231,2385341.433,0
1/1/2025 15:20,94148.16,94239.93,94135.84,94216.27,34.48869,25:00.0,3248217.583,5652,18.76511,1767402.039,0
1/1/2025 15:25,94216.26,94224.92,94136.36,94160.5,45.71025,30:00.0,4304675.321,4305,10.41641,981199.2886,0
1/1/2025 15:30,94160.5,94210.9,94110.8,94132.01,28.04732,35:00.0,2640615.31,5983,16.98141,1598709.781,0
1/1/2025 15:35,94132,94174.49,94089.16,94174.48,18.36902,40:00.0,1728924.168,3617,11.24415,1058360.965,0
1/1/2025 15:40,94174.49,94247.78,94152,94247.18,32.97325,45:00.0,3106158.237,4132,20.10535,1893925.545,0
1/1/2025 15:45,94247.19,94412.52,94242.98,94336,105.31092,50:00.0,9935462.539,12416,42.41809,4001398.227,0
1/1/2025 15:50,94335.99,94368,94276.13,94353.45,35.40611,55:00.0,3339951.99,6559,23.35713,2203313.134,0
1/1/2025 15:55,94353.45,94500,94311.22,94432.94,44.4791,00:00.0,4199054.908,9547,29.80027,2813434.095,0
1/1/2025 16:00,94432.94,94492,94303.75,94342.66,125.29398,05:00.0,11829287.99,11913,71.11828,6713642.066,0
1/1/2025 16:05,94342.66,94450.82,94326.43,94421.04,37.96173,10:00.0,3583139.956,7203,21.22372,2003213.291,0
1/1/2025 16:10,94421.03,94421.04,94250,94274.63,35.76622,15:00.0,3373747.423,5490,15.52419,1464413.559,0
1/1/2025 16:15,94274.62,94274.62,94113.37,94113.38,46.77332,20:00.0,4405416.518,10487,18.13976,1708574.719,0
1/1/2025 16:20,94113.38,94209.96,94096.01,94178.34,47.70275,25:00.0,4491435.197,8532,29.2692,2755791.416,0
1/1/2025 16:25,94178.34,94227.28,94128.34,94149.98,31.47233,30:00.0,2964504.784,5608,15.60386,1469756.306,0
1/1/2025 16:30,94149.99,94157.86,94040.82,94094.57,58.26132,35:00.0,5481066.647,8531,25.60181,2408607.524,0
1/1/2025 16:35,94094.57,94188.77,94091.01,94142.1,32.10695,40:00.0,3022688.113,7405,21.36399,2011168.481,0
1/1/2025 16:40,94142.09,94142.09,94017.37,94017.38,19.26705,45:00.0,1812279.829,4450,6.52479,613710.1722,0
1/1/2025 16:45,94017.37,94047.59,94000,94016.82,61.04932,50:00.0,5739273.277,4549,15.90409,1495263.099,0
1/1/2025 16:50,94016.81,94041.55,93922,94027.86,57.22088,55:00.0,5377376.833,9140,33.45629,3143584.527,0
1/1/2025 16:55,94027.86,94090.5,93984.91,94090.49,27.39799,00:00.0,2576434.959,4214,13.47752,1267451.143,0
1/1/2025 17:00,94090.5,94131.66,94000,94000.01,28.23637,05:00.0,2656169.824,8796,12.5032,1176128.788,0
1/1/2025 17:05,94000.01,94014.51,93927.14,93958.18,21.24895,10:00.0,1996808.927,6384,11.21519,1053888.486,0
1/1/2025 17:10,93958.18,93958.19,93859.88,93863.12,41.0126,15:00.0,3851272.763,6390,17.35387,1629393.173,0
1/1/2025 17:15,93863.12,93916.55,93760.93,93794.67,51.64453,20:00.0,4846310.266,8204,24.63977,2312633.358,0
1/1/2025 17:20,93794.68,93949.38,93794.67,93937.09,26.71446,25:00.0,2507993.838,4620,16.70319,1568062.639,0
